"V1","V2"
-98.3717,40.58
-99.1653,40.7853
-96.3619,41.6965
-95.8976,40.9946
-101.6227,40.4085
-101.7119,42.9955
-101.2733,42.8978
-96.8078,41.9301
-99.9848,41.7171
-100.1589,41.2793
-99.5844,41.4004
-102.9868,42.4525
-97.3739,40.4067
-96.879,40.118
-98.9925,42.058
-101.2766,40.3999
-96.9355,40.0284
-96.2337,40.4644
-96.3687,40.4168
-96.6833,40.7633
-96.7611,40.7544
-101.0835,41.221
-100.7879,41.1243
-100.3959,41.4078
-102.8713,41.4759
-95.9664,40.4057
-96.1657,40.5233
-101.3229,40.8
-101.7244,40.8492
-100.6531,40.265
-95.95,41.1674
-102.7341,42.5082
-99.1267,41.6693
-98.4366,40.0891
-97.806,40.816
-86.3464,33.9153
-86.4792,34.2305
-87.8887,30.5483
-87.5624,30.3032
-87.9083,30.5072
-87.7574,30.9809
-85.7159,34.4431
-86.3845,32.5504
-86.1402,32.6784
-86.21,34.7345
-86.7459,33.4296
-86.8304,34.8044
-86.3654,34.6651
-86.553,34.647
-86.8217,34.3638
-86.6328,34.4907
-86.2131,34.3424
-86.2056,32.0323
-85.3485,33.2034
-87.4009,33.0786
-94.2576,36.4691
-92.4054,35.2596
-94.2296,34.5966
-93.0172,35.3055
-92.2439,34.8923
-92.2531,34.824
-92.7651,34.536
-91.9405,35.8258
-92.3101,35.911
-92.2014,35.8374
-92.2192,35.9324
-92.2358,35.947
-92.2745,35.7375
-92.3039,35.4755
-110.2776,31.549
-110.3806,31.6867
-110.2132,31.3516
-111.6815,35.1704
-109.81,32.8857
-111.344,34.2371
-111.7432,33.4267
-112.3399,33.5041
-112.4871,33.3355
-112.1957,33.5339
-111.8053,33.3741
-111.7501,33.3978
-112.2903,33.6321
-112.1497,33.3364
-111.8461,33.3552
-112.1466,33.5511
-112.4004,33.4349
-111.9872,33.6468
-112.0888,33.2938
-112.0945,33.3504
-111.749,33.2204
-112.1099,33.8006
-111.7731,33.5919
-112.3491,33.4955
-112.1381,33.6195
-109.9003,34.1109
-110.1266,34.2825
-110.1668,34.4969
-110.7679,32.1366
-111.031,32.318
-110.9904,32.2763
-110.7984,32.2261
-111.016,31.812
-110.7674,32.139
-110.9872,32.4289
-110.7233,32.2543
-110.672,32.2546
-111.0003,32.3531
-110.9461,31.8942
-110.82,32.2483
-111.0515,32.3585
-110.8841,32.4892
-110.7824,32.2047
-111.068,32.301
-110.9289,32.2453
-111.0163,32.3513
-111.0848,32.3045
-111.5807,33.396
-111.7841,32.9603
-111.0876,31.5883
-111.0396,31.437
-114.523,32.6432
-112.3043,34.6016
-111.9,34.7973
-111.9185,34.7063
-122.2256,37.8575
-122.2032,37.7778
-120.6313,38.4882
-121.518,39.514
-121.6458,39.3348
-122.1085,37.9898
-122.0285,37.8846
-122.3157,37.9363
-120.849,38.6953
-120.711,38.7338
-120.0339,38.8817
-121.0745,38.6954
-124.086,40.9778
-123.7013,40.4734
-124.1398,41.0593
-118.5404,37.3227
-118.2878,37.1688
-119.6527,36.3769
-117.9782,35.6345
